activity,next_activity,frequency
droppedOffRegion2,startProcessingRegion2,151500
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151493
assignedToVehicleRegion1,pickedUpRegion1,151481
finishedProcessingRegion2,productCallsForTransportRegion3,151468
productCallsForTransportRegion3,assignedToVehicleRegion3,151464
pickedUpRegion1,droppedOffRegion2,151441
assignedToVehicleRegion3,pickedUpRegion3,151440
pickedUpRegion3,droppedOffRegion3,151415
startProcessingRegion2,finishedProcessingRegion2,150466
