activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151491
droppedOffRegion2,startProcessingRegion2,151482
assignedToVehicleRegion1,pickedUpRegion1,151479
finishedProcessingRegion2,productCallsForTransportRegion3,151463
pickedUpRegion1,droppedOffRegion2,151443
productCallsForTransportRegion3,assignedToVehicleRegion3,151443
assignedToVehicleRegion3,pickedUpRegion3,151441
pickedUpRegion3,droppedOffRegion3,151416
startProcessingRegion2,finishedProcessingRegion2,150437
