activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,146296
finishedProcessingRegion2,productCallsForTransportRegion3,146294
productCallsForTransportRegion1,assignedToVehicleRegion1,146292
pickedUpRegion1,droppedOffRegion2,146274
assignedToVehicleRegion1,pickedUpRegion1,146253
startProcessingRegion2,finishedProcessingRegion2,145304
assignedToVehicleRegion3,pickedUpRegion3,130961
pickedUpRegion3,droppedOffRegion3,130947
productCallsForTransportRegion3,assignedToVehicleRegion3,130931
productCallsForTransportRegion1,productDisposed,5145
