activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,141225
pickedUpRegion1,droppedOffRegion2,141215
finishedProcessingRegion2,productCallsForTransportRegion3,141197
assignedToVehicleRegion1,pickedUpRegion1,141036
productCallsForTransportRegion1,assignedToVehicleRegion1,140913
startProcessingRegion2,finishedProcessingRegion2,140244
pickedUpRegion3,droppedOffRegion3,129755
assignedToVehicleRegion3,pickedUpRegion3,129741
productCallsForTransportRegion3,assignedToVehicleRegion3,127506
productCallsForTransportRegion1,productDisposed,10171
