activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,151492
productCallsForTransportRegion1,assignedToVehicleRegion1,151492
assignedToVehicleRegion1,pickedUpRegion1,151491
finishedProcessingRegion2,productCallsForTransportRegion3,151456
productCallsForTransportRegion3,assignedToVehicleRegion3,151448
pickedUpRegion1,droppedOffRegion2,151438
assignedToVehicleRegion3,pickedUpRegion3,151430
pickedUpRegion3,droppedOffRegion3,151395
startProcessingRegion2,finishedProcessingRegion2,150453
