activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150159,3.7147545422074817,7.544101666666666
productCallsForTransportRegion1,productDisposed,290,3.0581036321839083,4.256881666666667
productCallsForTransportRegion3,assignedToVehicleRegion3,149517,0.6248725128580696,323.10862333333336
pickedUpRegion3,droppedOffRegion3,149636,0.2771886626658469,0.625
pickedUpRegion1,droppedOffRegion2,151123,0.20144518041595255,0.5
assignedToVehicleRegion3,pickedUpRegion3,149663,0.17507017749878065,0.625
assignedToVehicleRegion1,pickedUpRegion1,151162,0.0967932267809811,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151188,0.03452912819359562,4.226015
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151186,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151167,0.0,0.0
