activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,150995
productCallsForTransportRegion1,assignedToVehicleRegion1,150989
assignedToVehicleRegion1,pickedUpRegion1,150977
finishedProcessingRegion2,productCallsForTransportRegion3,150963
pickedUpRegion1,droppedOffRegion2,150952
startProcessingRegion2,finishedProcessingRegion2,149953
assignedToVehicleRegion3,pickedUpRegion3,146349
pickedUpRegion3,droppedOffRegion3,146333
productCallsForTransportRegion3,assignedToVehicleRegion3,146296
productCallsForTransportRegion1,productDisposed,492
