activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,149821
productCallsForTransportRegion1,assignedToVehicleRegion1,149815
assignedToVehicleRegion1,pickedUpRegion1,149777
pickedUpRegion1,droppedOffRegion2,149775
finishedProcessingRegion2,productCallsForTransportRegion3,149742
startProcessingRegion2,finishedProcessingRegion2,148774
assignedToVehicleRegion3,pickedUpRegion3,136282
productCallsForTransportRegion3,assignedToVehicleRegion3,136257
pickedUpRegion3,droppedOffRegion3,136227
productCallsForTransportRegion1,productDisposed,1668
