activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150452,3.715350437415255,7.544101666666666
pickedUpRegion3,droppedOffRegion3,151410,0.27957184021310794,0.625
pickedUpRegion1,droppedOffRegion2,151434,0.2030934268394152,0.5
assignedToVehicleRegion3,pickedUpRegion3,151435,0.18390567085988488,0.625
productCallsForTransportRegion3,assignedToVehicleRegion3,151437,0.11463475184400113,16.643703333333335
assignedToVehicleRegion1,pickedUpRegion1,151480,0.09874446266833904,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151490,0.0248618640614342,3.8296300000000003
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151480,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151465,0.0,0.0
