experiment,activity,next_activity,frequency
10,finishedProcessingRegion2,productCallsForTransportRegion3,151454
10,productCallsForTransportRegion3,assignedToVehicleRegion3,151448
10,assignedToVehicleRegion3,pickedUpRegion3,151432
10,pickedUpRegion1,droppedOffRegion2,151422
10,pickedUpRegion3,droppedOffRegion3,151412
10,startProcessingRegion2,finishedProcessingRegion2,150466
11,droppedOffRegion2,startProcessingRegion2,151500
11,arrivalAtSource,productCallsForTransportRegion1,151493
11,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
11,assignedToVehicleRegion1,pickedUpRegion1,151481
11,finishedProcessingRegion2,productCallsForTransportRegion3,151468
11,productCallsForTransportRegion3,assignedToVehicleRegion3,151464
11,pickedUpRegion1,droppedOffRegion2,151441
11,assignedToVehicleRegion3,pickedUpRegion3,151440
11,pickedUpRegion3,droppedOffRegion3,151415
11,startProcessingRegion2,finishedProcessingRegion2,150466
12,arrivalAtSource,productCallsForTransportRegion1,151493
12,productCallsForTransportRegion1,assignedToVehicleRegion1,151492
12,droppedOffRegion2,startProcessingRegion2,151490
12,assignedToVehicleRegion1,pickedUpRegion1,151488
12,finishedProcessingRegion2,productCallsForTransportRegion3,151461
12,productCallsForTransportRegion3,assignedToVehicleRegion3,151456
12,assignedToVehicleRegion3,pickedUpRegion3,151452
12,pickedUpRegion1,droppedOffRegion2,151435
12,pickedUpRegion3,droppedOffRegion3,151385
12,startProcessingRegion2,finishedProcessingRegion2,150458
13,arrivalAtSource,productCallsForTransportRegion1,151493
13,productCallsForTransportRegion1,assignedToVehicleRegion1,151491
13,droppedOffRegion2,startProcessingRegion2,151490
13,assignedToVehicleRegion1,pickedUpRegion1,151481
13,finishedProcessingRegion2,productCallsForTransportRegion3,151455
13,productCallsForTransportRegion3,assignedToVehicleRegion3,151445
13,pickedUpRegion1,droppedOffRegion2,151439
13,assignedToVehicleRegion3,pickedUpRegion3,151417
13,pickedUpRegion3,droppedOffRegion3,151403
13,startProcessingRegion2,finishedProcessingRegion2,150446
14,arrivalAtSource,productCallsForTransportRegion1,151493
14,droppedOffRegion2,startProcessingRegion2,151492
14,productCallsForTransportRegion1,assignedToVehicleRegion1,151492
14,assignedToVehicleRegion1,pickedUpRegion1,151491
14,finishedProcessingRegion2,productCallsForTransportRegion3,151456
14,productCallsForTransportRegion3,assignedToVehicleRegion3,151448
14,pickedUpRegion1,droppedOffRegion2,151438
14,assignedToVehicleRegion3,pickedUpRegion3,151430
14,pickedUpRegion3,droppedOffRegion3,151395
14,startProcessingRegion2,finishedProcessingRegion2,150453
15,arrivalAtSource,productCallsForTransportRegion1,151493
15,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
15,droppedOffRegion2,startProcessingRegion2,151487
15,assignedToVehicleRegion1,pickedUpRegion1,151475
15,finishedProcessingRegion2,productCallsForTransportRegion3,151461
15,productCallsForTransportRegion3,assignedToVehicleRegion3,151447
15,pickedUpRegion1,droppedOffRegion2,151440
15,assignedToVehicleRegion3,pickedUpRegion3,151422
15,pickedUpRegion3,droppedOffRegion3,151411
15,startProcessingRegion2,finishedProcessingRegion2,150452
16,arrivalAtSource,productCallsForTransportRegion1,151493
16,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
16,droppedOffRegion2,startProcessingRegion2,151488
16,assignedToVehicleRegion1,pickedUpRegion1,151484
16,finishedProcessingRegion2,productCallsForTransportRegion3,151475
16,productCallsForTransportRegion3,assignedToVehicleRegion3,151465
16,assignedToVehicleRegion3,pickedUpRegion3,151443
16,pickedUpRegion1,droppedOffRegion2,151440
16,pickedUpRegion3,droppedOffRegion3,151388
16,startProcessingRegion2,finishedProcessingRegion2,150454
17,arrivalAtSource,productCallsForTransportRegion1,151493
17,productCallsForTransportRegion1,assignedToVehicleRegion1,151493
17,droppedOffRegion2,startProcessingRegion2,151486
17,finishedProcessingRegion2,productCallsForTransportRegion3,151478
