activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150449,3.715307884332897,7.544101666666666
pickedUpRegion3,droppedOffRegion3,151390,0.32163378712816776,0.625
pickedUpRegion1,droppedOffRegion2,151411,0.24038502816836294,0.5
assignedToVehicleRegion3,pickedUpRegion3,151427,0.15282518381794527,0.625
assignedToVehicleRegion1,pickedUpRegion1,151470,0.0891862920050175,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151455,0.01981737191465012,8.185983333333333
productCallsForTransportRegion1,assignedToVehicleRegion1,151492,0.005079825216293049,1.867605
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151472,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151459,0.0,0.0
