activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,143627
productCallsForTransportRegion1,assignedToVehicleRegion1,143619
finishedProcessingRegion2,productCallsForTransportRegion3,143607
assignedToVehicleRegion1,pickedUpRegion1,143595
pickedUpRegion1,droppedOffRegion2,143582
startProcessingRegion2,finishedProcessingRegion2,142656
assignedToVehicleRegion3,pickedUpRegion3,127292
productCallsForTransportRegion3,assignedToVehicleRegion3,127284
pickedUpRegion3,droppedOffRegion3,127269
productCallsForTransportRegion1,productDisposed,7798
