activity,next_activity,frequency
droppedOffRegion2,startProcessingRegion2,151506
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151479
assignedToVehicleRegion1,pickedUpRegion1,151470
finishedProcessingRegion2,productCallsForTransportRegion3,151470
pickedUpRegion1,droppedOffRegion2,151442
startProcessingRegion2,finishedProcessingRegion2,150468
assignedToVehicleRegion3,pickedUpRegion3,149733
pickedUpRegion3,droppedOffRegion3,149711
productCallsForTransportRegion3,assignedToVehicleRegion3,149368
productCallsForTransportRegion1,productDisposed,3
