experiment,run,number_of_cases,number_of_events,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality
13,1,7558,82489,11,10,4.286077077048603,8.601281666666667,89.59271398065813
13,2,7737,84414,11,10,4.284968263323424,8.236948333333334,89.48345950841556
13,3,7569,82571,11,11,4.269361281102744,7.835001666666667,89.61444408731684
13,4,7705,83958,11,10,4.274791657149038,8.12122,89.45639328838969
13,5,7668,83700,11,9,4.290755551208487,8.266516666666666,89.52614802139925
13,6,7702,84132,11,10,4.283535891543322,8.805321666666666,89.35240394843484
13,7,7531,82191,11,9,4.283756305714159,8.585216666666668,89.59917103436584
13,8,7604,83017,11,8,4.285027256487814,7.725083333333333,89.56799004914538
13,9,7632,83266,11,10,4.266314277603075,8.519578333333333,89.52788821750018
13,10,7573,82604,11,11,4.294963847440468,7.741986666666667,89.63798221216705
13,11,7577,82685,11,9,4.272511653468831,8.383968333333334,89.52243176904634
13,12,7766,84757,11,11,4.307051889861791,9.705621666666667,89.33722295072317
13,13,7637,83421,11,9,4.2828540938850335,8.209185,89.4196529170949
13,14,7650,83400,11,10,4.271921176470588,9.113913333333333,89.44277769258338
13,15,7704,84110,11,7,4.28429957770855,9.289421666666668,89.41671413561846
13,16,7507,81874,11,8,4.28309351538564,8.846020000000001,89.58662341141512
13,17,7689,83934,11,8,4.275365869207092,8.441915,89.46207357516631
13,18,7546,82344,11,9,4.274821167285096,8.01993,89.72023714704164
13,19,7729,84352,11,10,4.2740762192176645,9.59467,89.28231522951029
13,20,7610,83035,11,8,4.288503081471748,8.071096666666667,89.58785283678272
14,1,7557,82498,11,11,4.247803386264391,7.776610000000001,89.92108559783135
14,2,7735,84418,11,10,4.247166679594915,7.654856666666666,89.85379958789173
14,3,7568,82568,11,10,4.228586575493305,8.19244,89.9270601714501
14,4,7702,83954,11,9,4.235133478966501,8.170584999999999,89.85773880350811
14,5,7666,83685,11,9,4.2473245077832855,8.227518333333332,89.97545153468731
14,6,7702,84134,11,7,4.240495494893101,8.089388333333334,89.67722733301845
14,7,7532,82205,11,10,4.23811034630023,7.594761666666667,89.93547945943304
14,8,7601,83005,11,6,4.23872338902776,8.505215,90.00707100556153
14,9,7630,83259,11,8,4.223845658584534,8.367815,89.90201073224127
14,10,7567,82601,11,10,4.258478810845337,7.712315,90.05052875983452
14,11,7576,82684,11,8,4.234341828801478,7.620821666666667,89.93811515247057
14,12,7769,84769,11,12,4.262757678808941,8.522041666666667,89.59381782848331
14,13,7638,83421,11,7,4.240930314218382,8.026125,89.83411524968054
14,14,7649,83388,11,8,4.232148664749205,7.891345,89.84717676536462
14,15,7706,84101,11,8,4.234719719698936,7.64896,89.81174945998426
