activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150466,3.715357205304409,7.544103333333334
pickedUpRegion3,droppedOffRegion3,151412,0.322768157103356,0.625
pickedUpRegion1,droppedOffRegion2,151422,0.24012981931291358,0.5
assignedToVehicleRegion3,pickedUpRegion3,151432,0.15281107623663867,0.625
assignedToVehicleRegion1,pickedUpRegion1,151470,0.0893413208336084,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151448,0.013499948431144685,1.9846983333333335
productCallsForTransportRegion1,assignedToVehicleRegion1,151493,0.004160488669443473,0.8910766666666666
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151454,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151494,0.0,0.0
