activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151493
droppedOffRegion2,startProcessingRegion2,151488
assignedToVehicleRegion1,pickedUpRegion1,151484
finishedProcessingRegion2,productCallsForTransportRegion3,151475
productCallsForTransportRegion3,assignedToVehicleRegion3,151465
assignedToVehicleRegion3,pickedUpRegion3,151443
pickedUpRegion1,droppedOffRegion2,151440
pickedUpRegion3,droppedOffRegion3,151388
startProcessingRegion2,finishedProcessingRegion2,150454
