activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,151242
productCallsForTransportRegion1,assignedToVehicleRegion1,151241
assignedToVehicleRegion1,pickedUpRegion1,151231
finishedProcessingRegion2,productCallsForTransportRegion3,151207
pickedUpRegion1,droppedOffRegion2,151203
startProcessingRegion2,finishedProcessingRegion2,150191
assignedToVehicleRegion3,pickedUpRegion3,149901
pickedUpRegion3,droppedOffRegion3,149883
productCallsForTransportRegion3,assignedToVehicleRegion3,149755
productCallsForTransportRegion1,productDisposed,243
