activity,next_activity,frequency
finishedProcessingRegion2,productCallsForTransportRegion3,151496
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,151467
productCallsForTransportRegion1,assignedToVehicleRegion1,151456
assignedToVehicleRegion1,pickedUpRegion1,151422
pickedUpRegion1,droppedOffRegion2,151373
productCallsForTransportRegion3,assignedToVehicleRegion3,151278
pickedUpRegion3,droppedOffRegion3,151264
assignedToVehicleRegion3,pickedUpRegion3,151236
startProcessingRegion2,finishedProcessingRegion2,150462
productCallsForTransportRegion1,productDisposed,8
