experiment,runs,number_of_cases,average_cases_per_run,number_of_events,average_events_per_run,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality,minimum_final_quality,fleet,vehicle_rule,product_rule,description,scenario,exp,decayAverage,decayStdDev,avgTimeInSystem,stdTimeInSystem,avgProductsDisposedPerHour,
18,20,152750,7637.5,1666268,83313.4,11,15,4.481016904277141,14.608704999999999,86.26147296423215,26.5607657968,3UAV;2HDF;2AGV,highestQualityDecayValue,random,{3UAV;2HDF;2AGV}{V:highestQualityDecayValue;P:random}{Decay:0.60},2,9,86.19125098501303,9.27416663208874,272.72579184308705,59.87459916518556,0.0,
19,20,153129,7656.45,1666004,83300.2,12,16,6.112223635028855,58.02830166666667,68.73093144095378,0.7553840463,2HDF;2AGV,Rnd,Rnd,{2HDF;2AGV}{V:Rnd;P:Rnd}{Decay:0.60},3,1,68.57237646826465,13.730344294193094,372.00771736015406,112.65516836629618,0.025,
20,20,153129,7656.45,1666084,83304.2,12,16,6.136249051834293,53.277465,68.67877509924783,0.2777421074,2HDF;2AGV,Rnd,lowestUtilization,{2HDF;2AGV}{V:Rnd;P:lowestUtilization}{Decay:0.60},3,2,68.53231240714747,13.652459060824594,373.2702100587613,114.94165614973546,0.04375,
21,20,153083,7654.15,1666101,83305.05,12,16,5.979343765778477,49.49664666666667,70.27471774983142,0.3746271662,2HDF;2AGV,Rnd,shortestTravelDistance,{2HDF;2AGV}{V:Rnd;P:shortestTravelDistance}{Decay:0.60},3,3,70.10679536116226,13.316054256148355,363.8604245613541,112.0161914360334,0.03125,
22,20,155537,7776.85,1550033,77501.65,12,17,26.10047339237609,274.3465933333334,45.93377957430709,5.7769e-06,2HDF;2AGV,lowestQualityDecayValue,lowestUtilization,{2HDF;2AGV}{V:lowestQualityDecayValue;P:lowestUtilization}{Decay:0.60},3,4,37.96646716298873,31.51092846625464,1831.5669440103084,2585.7565729590647,57.8875,
23,20,154912,7745.6,1582452,79122.6,12,17,22.16577913856469,259.3703316666667,47.35544623148897,1.47779e-05,2HDF;2AGV,lowestQualityDecayValue,shortestTravelDistance,{2HDF;2AGV}{V:lowestQualityDecayValue;P:shortestTravelDistance}{Decay:0.60},3,5,41.0430110651788,32.12223453980032,1517.9311409180316,2032.2813186405551,41.675,
24,20,152992,7649.6,1554814,77740.7,12,21,5.268003227499913,186.92900666666668,74.83067699804072,1e-10,2HDF;2AGV,highestQualityDecayValue,lowestUtilization,{2HDF;2AGV}{V:highestQualityDecayValue;P:lowestUtilization}{Decay:0.60},3,6,65.86883646291234,25.57744087024431,302.5426435269926,157.23173710179768,44.1875,
25,20,152992,7649.6,1612623,80631.15,12,20,5.350182063070836,124.68752166666667,76.14334002297629,1e-10,2HDF;2AGV,highestQualityDecayValue,shortestTravelDistance,{2HDF;2AGV}{V:highestQualityDecayValue;P:shortestTravelDistance}{Decay:0.60},3,7,68.43870677299888,23.87836882662208,305.6955771678785,171.18993340618377,9.68125,
26,20,154997,7749.85,1560055,78002.75,12,17,22.661050196681224,272.16673333333335,46.06888822511665,6.7085e-06,2HDF;2AGV,lowestQualityDecayValue,random,{2HDF;2AGV}{V:lowestQualityDecayValue;P:random}{Decay:0.60},3,8,39.46933211255559,30.860924579655016,1577.0364804224578,2089.383074354057,56.6,
27,20,153025,7651.25,1579215,78960.75,12,21,5.3183940688449605,124.46825,74.84746304833735,0.0,2HDF;2AGV,highestQualityDecayValue,random,{2HDF;2AGV}{V:highestQualityDecayValue;P:random}{Decay:0.60},3,9,66.37240744720917,24.966722887008167,304.23589577216774,157.3279525831209,29.5625,
