activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151491
droppedOffRegion2,startProcessingRegion2,151490
assignedToVehicleRegion1,pickedUpRegion1,151481
finishedProcessingRegion2,productCallsForTransportRegion3,151455
productCallsForTransportRegion3,assignedToVehicleRegion3,151445
pickedUpRegion1,droppedOffRegion2,151439
assignedToVehicleRegion3,pickedUpRegion3,151417
pickedUpRegion3,droppedOffRegion3,151403
startProcessingRegion2,finishedProcessingRegion2,150446
