activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150462,3.715304066408795,7.544103333333334
productCallsForTransportRegion1,productDisposed,8,2.554127916666667,2.83792
productCallsForTransportRegion3,assignedToVehicleRegion3,151278,0.7807619635373286,47.341525000000004
pickedUpRegion3,droppedOffRegion3,151264,0.5102838965869826,0.625
assignedToVehicleRegion3,pickedUpRegion3,151236,0.4777706870167597,0.625
pickedUpRegion1,droppedOffRegion2,151373,0.38278292694205707,0.5
assignedToVehicleRegion1,pickedUpRegion1,151422,0.28797548485909136,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151456,0.07593310566545178,5.335456666666667
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151467,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151496,0.0,0.0
