activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,144253
pickedUpRegion1,droppedOffRegion2,144241
finishedProcessingRegion2,productCallsForTransportRegion3,144223
assignedToVehicleRegion1,pickedUpRegion1,144094
productCallsForTransportRegion1,assignedToVehicleRegion1,143998
startProcessingRegion2,finishedProcessingRegion2,143254
assignedToVehicleRegion3,pickedUpRegion3,135493
pickedUpRegion3,droppedOffRegion3,135446
productCallsForTransportRegion3,assignedToVehicleRegion3,133845
productCallsForTransportRegion1,productDisposed,7200
