activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151478
droppedOffRegion2,startProcessingRegion2,151467
finishedProcessingRegion2,productCallsForTransportRegion3,151466
pickedUpRegion1,droppedOffRegion2,151435
assignedToVehicleRegion1,pickedUpRegion1,151382
assignedToVehicleRegion3,pickedUpRegion3,151259
productCallsForTransportRegion3,assignedToVehicleRegion3,151243
pickedUpRegion3,droppedOffRegion3,151219
startProcessingRegion2,finishedProcessingRegion2,150427
productCallsForTransportRegion1,productDisposed,6
