activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,151490
productCallsForTransportRegion1,assignedToVehicleRegion1,151484
assignedToVehicleRegion1,pickedUpRegion1,151470
finishedProcessingRegion2,productCallsForTransportRegion3,151466
pickedUpRegion1,droppedOffRegion2,151446
productCallsForTransportRegion3,assignedToVehicleRegion3,151436
assignedToVehicleRegion3,pickedUpRegion3,151428
pickedUpRegion3,droppedOffRegion3,151400
startProcessingRegion2,finishedProcessingRegion2,150446
productCallsForTransportRegion1,productDisposed,4
