activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,141573
pickedUpRegion1,droppedOffRegion2,141570
finishedProcessingRegion2,productCallsForTransportRegion3,141518
assignedToVehicleRegion1,pickedUpRegion1,141383
productCallsForTransportRegion1,assignedToVehicleRegion1,141258
startProcessingRegion2,finishedProcessingRegion2,140571
assignedToVehicleRegion3,pickedUpRegion3,132522
pickedUpRegion3,droppedOffRegion3,132443
productCallsForTransportRegion3,assignedToVehicleRegion3,130827
productCallsForTransportRegion1,productDisposed,9900
