activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
droppedOffRegion2,startProcessingRegion2,151491
finishedProcessingRegion2,productCallsForTransportRegion3,151472
assignedToVehicleRegion1,pickedUpRegion1,151471
productCallsForTransportRegion1,assignedToVehicleRegion1,151470
pickedUpRegion1,droppedOffRegion2,151448
startProcessingRegion2,finishedProcessingRegion2,150450
assignedToVehicleRegion3,pickedUpRegion3,146290
pickedUpRegion3,droppedOffRegion3,146278
productCallsForTransportRegion3,assignedToVehicleRegion3,145306
productCallsForTransportRegion1,productDisposed,7
