activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151476
assignedToVehicleRegion1,pickedUpRegion1,151472
droppedOffRegion2,startProcessingRegion2,151470
finishedProcessingRegion2,productCallsForTransportRegion3,151443
pickedUpRegion1,droppedOffRegion2,151426
startProcessingRegion2,finishedProcessingRegion2,150423
assignedToVehicleRegion3,pickedUpRegion3,149613
pickedUpRegion3,droppedOffRegion3,149591
productCallsForTransportRegion3,assignedToVehicleRegion3,149163
productCallsForTransportRegion1,productDisposed,8
