activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150452,3.7153994359773654,7.544101666666666
pickedUpRegion3,droppedOffRegion3,151411,0.25405995666321024,0.625
pickedUpRegion1,droppedOffRegion2,151440,0.17985588351822504,0.5
assignedToVehicleRegion3,pickedUpRegion3,151422,0.11705627945961178,0.625
assignedToVehicleRegion1,pickedUpRegion1,151475,0.04805572476206194,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151447,0.02306319712506686,11.76694
productCallsForTransportRegion1,assignedToVehicleRegion1,151493,0.003114659434209281,2.4511433333333335
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151487,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151461,0.0,0.0
