activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150454,3.7153439878634,7.544101666666666
pickedUpRegion3,droppedOffRegion3,151388,0.27648400930060507,0.625
pickedUpRegion1,droppedOffRegion2,151440,0.1982962174238422,0.5
assignedToVehicleRegion3,pickedUpRegion3,151443,0.06937331094867376,0.625
assignedToVehicleRegion1,pickedUpRegion1,151484,0.02228627009013053,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151465,0.013883406111422879,5.388046666666667
productCallsForTransportRegion1,assignedToVehicleRegion1,151493,0.0027788052473271593,2.15079
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151475,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151488,0.0,0.0
