activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151490
assignedToVehicleRegion1,pickedUpRegion1,151480
droppedOffRegion2,startProcessingRegion2,151480
finishedProcessingRegion2,productCallsForTransportRegion3,151465
productCallsForTransportRegion3,assignedToVehicleRegion3,151437
assignedToVehicleRegion3,pickedUpRegion3,151435
pickedUpRegion1,droppedOffRegion2,151434
pickedUpRegion3,droppedOffRegion3,151410
startProcessingRegion2,finishedProcessingRegion2,150452
