activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150446,3.715275948225056,7.544101666666666
productCallsForTransportRegion1,productDisposed,4,2.83792,2.83792
pickedUpRegion3,droppedOffRegion3,151400,0.25589140243284897,0.625
assignedToVehicleRegion3,pickedUpRegion3,151428,0.17920957155655934,0.625
pickedUpRegion1,droppedOffRegion2,151446,0.1610447508242762,0.5
productCallsForTransportRegion3,assignedToVehicleRegion3,151436,0.14575994063498773,17.21337
assignedToVehicleRegion1,pickedUpRegion1,151470,0.07612150620584936,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151484,0.028417406447765654,3.1703883333333334
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151490,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151466,0.0,0.0
