activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150427,3.715267613970009,7.544101666666666
productCallsForTransportRegion1,productDisposed,6,2.9325172222222227,4.25688
productCallsForTransportRegion3,assignedToVehicleRegion3,151243,0.7611962007497868,52.99698333333333
pickedUpRegion3,droppedOffRegion3,151219,0.5131602730697421,0.625
assignedToVehicleRegion3,pickedUpRegion3,151259,0.47589646095989885,0.625
pickedUpRegion1,droppedOffRegion2,151435,0.3983359197015221,0.5
assignedToVehicleRegion1,pickedUpRegion1,151382,0.279963013260053,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151478,0.06372128331066777,8.004365
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151467,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151466,0.0,0.0
