activity,next_activity,frequency,mean_duration_min,max_duration_min
startProcessingRegion2,finishedProcessingRegion2,150191,3.7147712817013008,7.544101666666666
productCallsForTransportRegion1,productDisposed,243,3.0422970987654328,4.256881666666667
productCallsForTransportRegion3,assignedToVehicleRegion3,149755,0.5795912052129588,332.3718533333333
pickedUpRegion3,droppedOffRegion3,149883,0.25615776587960837,0.625
pickedUpRegion1,droppedOffRegion2,151203,0.17256188699959657,0.5
assignedToVehicleRegion3,pickedUpRegion3,149901,0.14532075102901248,0.625
assignedToVehicleRegion1,pickedUpRegion1,151231,0.055934399153171846,0.5
productCallsForTransportRegion1,assignedToVehicleRegion1,151241,0.028865983507558576,4.252973333333333
arrivalAtSource,productCallsForTransportRegion1,151493,0.0,0.0
droppedOffRegion2,startProcessingRegion2,151242,0.0,0.0
finishedProcessingRegion2,productCallsForTransportRegion3,151207,0.0,0.0
