activity,next_activity,frequency
arrivalAtSource,productCallsForTransportRegion1,151493
productCallsForTransportRegion1,assignedToVehicleRegion1,151188
droppedOffRegion2,startProcessingRegion2,151186
finishedProcessingRegion2,productCallsForTransportRegion3,151167
assignedToVehicleRegion1,pickedUpRegion1,151162
pickedUpRegion1,droppedOffRegion2,151123
startProcessingRegion2,finishedProcessingRegion2,150159
assignedToVehicleRegion3,pickedUpRegion3,149663
pickedUpRegion3,droppedOffRegion3,149636
productCallsForTransportRegion3,assignedToVehicleRegion3,149517
productCallsForTransportRegion1,productDisposed,290
