activity,count
pickedUpRegion1,7505
droppedOffRegion3,7503
finishedProcessingRegion2,7502
productCallsForTransportRegion3,7502
assignedToVehicleRegion3,7502
pickedUpRegion3,7502
droppedOffRegion2,7500
startProcessingRegion2,7500
arrivalAtSource,7497
productCallsForTransportRegion1,7497
assignedToVehicleRegion1,7497
