case_id,min,max,duration
.Models.MUs.product1:1054,2020-01-01 02:58:43.558400,2020-01-01 03:01:49.549600,0 days 00:03:05.991200
.Models.MUs.product1:1055,2020-01-01 02:58:53.548300,2020-01-01 03:02:11.876700,0 days 00:03:18.328400
.Models.MUs.product1:1056,2020-01-01 02:59:06.168200,2020-01-01 03:02:47.343400,0 days 00:03:41.175200
.Models.MUs.product1:1057,2020-01-01 02:59:06.423800,2020-01-01 03:02:24.599900,0 days 00:03:18.176100
.Models.MUs.product1:1058,2020-01-01 02:59:22.017200,2020-01-01 03:02:47.343400,0 days 00:03:25.326200
.Models.MUs.product1:1059,2020-01-01 02:59:34.458700,2020-01-01 03:02:06.216300,0 days 00:02:31.757600
.Models.MUs.product1:1060,2020-01-01 02:59:59.780400,2020-01-01 03:03:42.498000,0 days 00:03:42.717600
.Models.MUs.product1:1061,2020-01-01 03:00:09.801000,2020-01-01 03:04:07.457800,0 days 00:03:57.656800
.Models.MUs.product1:1062,2020-01-01 03:00:10.878200,2020-01-01 03:04:03.718100,0 days 00:03:52.839900
.Models.MUs.product1:1063,2020-01-01 03:00:13.766800,2020-01-01 03:04:31.740200,0 days 00:04:17.973400
.Models.MUs.product1:1064,2020-01-01 03:00:14.415700,2020-01-01 03:04:07.457800,0 days 00:03:53.042100
.Models.MUs.product1:1065,2020-01-01 03:00:40.956700,2020-01-01 03:04:31.740200,0 days 00:03:50.783500
.Models.MUs.product1:1066,2020-01-01 03:00:42.255400,2020-01-01 03:04:12.675400,0 days 00:03:30.420000
.Models.MUs.product1:1067,2020-01-01 03:00:51.682400,2020-01-01 03:05:09.814900,0 days 00:04:18.132500
.Models.MUs.product1:1068,2020-01-01 03:01:16.182500,2020-01-01 03:05:46.740200,0 days 00:04:30.557700
.Models.MUs.product1:1069,2020-01-01 03:01:17.136000,2020-01-01 03:04:38.736300,0 days 00:03:21.600300
.Models.MUs.product1:1070,2020-01-01 03:01:20.184500,2020-01-01 03:06:27.874000,0 days 00:05:07.689500
.Models.MUs.product1:1071,2020-01-01 03:01:23.435900,2020-01-01 03:05:31.285800,0 days 00:04:07.849900
.Models.MUs.product1:1072,2020-01-01 03:01:24.545900,2020-01-01 03:05:15.281800,0 days 00:03:50.735900
.Models.MUs.product1:1073,2020-01-01 03:01:25.441400,2020-01-01 03:04:46.208500,0 days 00:03:20.767100
.Models.MUs.product1:1074,2020-01-01 03:01:33.834200,2020-01-01 03:05:54.662900,0 days 00:04:20.828700
.Models.MUs.product1:1075,2020-01-01 03:01:35.467800,2020-01-01 03:05:07.874000,0 days 00:03:32.406200
.Models.MUs.product1:1076,2020-01-01 03:01:36.983400,2020-01-01 03:04:57.074800,0 days 00:03:20.091400
.Models.MUs.product1:1077,2020-01-01 03:01:51.616000,2020-01-01 03:05:31.948500,0 days 00:03:40.332500
.Models.MUs.product1:1078,2020-01-01 03:02:16.614900,2020-01-01 03:06:27.874000,0 days 00:04:11.259100
.Models.MUs.product1:1079,2020-01-01 03:02:32.487100,2020-01-01 03:06:03.754800,0 days 00:03:31.267700
.Models.MUs.product1:1080,2020-01-01 03:02:42.820100,2020-01-01 03:06:39.109900,0 days 00:03:56.289800
.Models.MUs.product1:1081,2020-01-01 03:02:46.787100,2020-01-01 03:06:22.866800,0 days 00:03:36.079700
.Models.MUs.product1:1082,2020-01-01 03:03:11.296700,2020-01-01 03:06:43.718100,0 days 00:03:32.421400
.Models.MUs.product1:1083,2020-01-01 03:03:20.363400,2020-01-01 03:06:22.443200,0 days 00:03:02.079800
.Models.MUs.product1:1084,2020-01-01 03:03:29.749200,2020-01-01 03:07:01.158500,0 days 00:03:31.409300
.Models.MUs.product1:1085,2020-01-01 03:03:31.489100,2020-01-01 03:07:19.581500,0 days 00:03:48.092400
.Models.MUs.product1:1086,2020-01-01 03:03:48.673200,2020-01-01 03:06:37.457800,0 days 00:02:48.784600
.Models.MUs.product1:1087,2020-01-01 03:03:49.524300,2020-01-01 03:09:07.457800,0 days 00:05:17.933500
.Models.MUs.product1:1088,2020-01-01 03:03:58.887700,2020-01-01 03:06:20.421500,0 days 00:02:21.533800
.Models.MUs.product1:1089,2020-01-01 03:04:13.026000,2020-01-01 03:08:04.090000,0 days 00:03:51.064000
.Models.MUs.product1:1090,2020-01-01 03:04:17.863800,2020-01-01 03:08:31.996400,0 days 00:04:14.132600
.Models.MUs.product1:1091,2020-01-01 03:04:20.574800,2020-01-01 03:07:10.176000,0 days 00:02:49.601200
.Models.MUs.product1:1092,2020-01-01 03:04:32.242800,2020-01-01 03:08:27.874000,0 days 00:03:55.631200
.Models.MUs.product1:1093,2020-01-01 03:04:33.230500,2020-01-01 03:08:41.444700,0 days 00:04:08.214200
.Models.MUs.product1:1094,2020-01-01 03:04:37.483800,2020-01-01 03:07:15.791400,0 days 00:02:38.307600
.Models.MUs.product1:1095,2020-01-01 03:04:59.297400,2020-01-01 03:09:07.874000,0 days 00:04:08.576600
.Models.MUs.product1:1096,2020-01-01 03:05:00.494900,2020-01-01 03:08:48.663100,0 days 00:03:48.168200
.Models.MUs.product1:1097,2020-01-01 03:05:01.691000,2020-01-01 03:09:07.457800,0 days 00:04:05.766800
.Models.MUs.product1:1098,2020-01-01 03:05:33.454500,2020-01-01 03:09:47.874000,0 days 00:04:14.419500
.Models.MUs.product1:1099,2020-01-01 03:05:34.433500,2020-01-01 03:08:43.718100,0 days 00:03:09.284600
.Models.MUs.product1:1100,2020-01-01 03:06:00.678200,2020-01-01 03:09:27.029800,0 days 00:03:26.351600
.Models.MUs.product1:1101,2020-01-01 03:06:18.635500,2020-01-01 03:09:59.080600,0 days 00:03:40.445100
.Models.MUs.product1:1102,2020-01-01 03:06:23.433700,2020-01-01 03:10:22.457800,0 days 00:03:59.024100
.Models.MUs.product1:1103,2020-01-01 03:06:24.149600,2020-01-01 03:10:46.740200,0 days 00:04:22.590600
.Models.MUs.product1:1104,2020-01-01 03:06:30.460600,2020-01-01 03:10:46.740200,0 days 00:04:16.279600
.Models.MUs.product1:1105,2020-01-01 03:06:42.936400,2020-01-01 03:10:27.874000,0 days 00:03:44.937600
.Models.MUs.product1:1106,2020-01-01 03:07:22.051600,2020-01-01 03:13:02.763300,0 days 00:05:40.711700
.Models.MUs.product1:1107,2020-01-01 03:07:33.545400,2020-01-01 03:12:06.172000,0 days 00:04:32.626600
.Models.MUs.product1:1108,2020-01-01 03:07:41.969400,2020-01-01 03:10:40.059200,0 days 00:02:58.089800
.Models.MUs.product1:1109,2020-01-01 03:07:42.951200,2020-01-01 03:12:06.172000,0 days 00:04:23.220800
.Models.MUs.product1:1110,2020-01-01 03:07:51.997200,2020-01-01 03:11:11.551500,0 days 00:03:19.554300
.Models.MUs.product1:1111,2020-01-01 03:07:52.145800,2020-01-01 03:11:26.172000,0 days 00:03:34.026200
.Models.MUs.product1:1112,2020-01-01 03:08:02.535200,2020-01-01 03:11:28.218200,0 days 00:03:25.683000
.Models.MUs.product1:1113,2020-01-01 03:08:09.809900,2020-01-01 03:11:03.218500,0 days 00:02:53.408600
.Models.MUs.product1:1114,2020-01-01 03:08:26.715000,2020-01-01 03:12:06.172000,0 days 00:03:39.457000
.Models.MUs.product1:1115,2020-01-01 03:08:35.801600,2020-01-01 03:13:26.172000,0 days 00:04:50.370400
.Models.MUs.product1:1116,2020-01-01 03:09:01.609900,2020-01-01 03:11:53.551000,0 days 00:02:51.941100
.Models.MUs.product1:1117,2020-01-01 03:09:08.092500,2020-01-01 03:12:34.145700,0 days 00:03:26.053200
.Models.MUs.product1:1118,2020-01-01 03:09:32.232300,2020-01-01 03:14:17.763300,0 days 00:04:45.531000
.Models.MUs.product1:1119,2020-01-01 03:09:35.355900,2020-01-01 03:13:14.145700,0 days 00:03:38.789800
.Models.MUs.product1:1120,2020-01-01 03:09:52.026900,2020-01-01 03:12:55.215300,0 days 00:03:03.188400
.Models.MUs.product1:1121,2020-01-01 03:09:52.950800,2020-01-01 03:13:16.740200,0 days 00:03:23.789400
.Models.MUs.product1:1122,2020-01-01 03:09:59.152100,2020-01-01 03:13:23.751100,0 days 00:03:24.599000
.Models.MUs.product1:1123,2020-01-01 03:10:02.309100,2020-01-01 03:14:31.740200,0 days 00:04:29.431100
.Models.MUs.product1:1124,2020-01-01 03:10:12.056900,2020-01-01 03:13:59.955900,0 days 00:03:47.899000
.Models.MUs.product1:1125,2020-01-01 03:10:39.125000,2020-01-01 03:14:19.068400,0 days 00:03:39.943400
.Models.MUs.product1:1126,2020-01-01 03:10:49.914300,2020-01-01 03:13:29.878400,0 days 00:02:39.964100
.Models.MUs.product1:1127,2020-01-01 03:11:41.296000,2020-01-01 03:15:41.002400,0 days 00:03:59.706400
.Models.MUs.product1:1128,2020-01-01 03:11:43.591400,2020-01-01 03:15:30.034000,0 days 00:03:46.442600
.Models.MUs.product1:1129,2020-01-01 03:11:43.744000,2020-01-01 03:14:48.742200,0 days 00:03:04.998200
.Models.MUs.product1:1130,2020-01-01 03:11:45.629900,2020-01-01 03:15:36.035600,0 days 00:03:50.405700
.Models.MUs.product1:1131,2020-01-01 03:11:51.251600,2020-01-01 03:14:33.289200,0 days 00:02:42.037600
.Models.MUs.product1:1132,2020-01-01 03:11:51.958200,2020-01-01 03:15:39.068400,0 days 00:03:47.110200
